title,petal_name,content,quote,attribution,task,carbon stars,cost,Mostly applies to space heating?,Magic Wand?,petal_number,print form of cost,group,Possible 25 word motivating quotes,Status,Old category,Old card title,,,,,,,,,,,,,,,
Wildcard,Wildcard,"<p>We can’t think of everything that might suit your circumstances.  For instance, one church could get their hall warm after they built a buggy park outside - because otherwise when the children came in, all the heat escaped.  You'll need to be curious about your building and your users to use this card well.</p>","To invent, you need a good imagination and a pile of junk.",Thomas A. Edison,N/A,?,?,,,N/A,?,N/A,"“To invent, you need a good imagination and a pile of junk.” ― Thomas A. Edison",,Wildcard,,,,,,,,,,,,,,,,
Maintain buildings and keep them dry,Energy Efficiency Excellence,"<p>If a building falls into disrepair, this has a huge carbon cost.  Our most important action is following the advice in your quinquennial survey.   A sound roof with adequate rainwater clearance will also make the building stay warm more easily and feel more comfortable. Ventilation is also important to keep the building dry even in traditional buildings, especially to vent moist air after people have been in. Don’t be tempted to reduce it without taking advice. Ensure work is carried out using breathable materials and maintain your ventilation features, for instance, by clearing leaves from low level air intakes.</p>",It wasn't raining when Noah built the ark.,traditional gospel song,T1.1,5,£££,,,1,3,Basic steps,"""It wasn't raining when Noah built the ark."" ―traditional gospel song OR A stitch in time saves nine. ― proverb",,Good management,Keep the building water tight,,,,,,,,,,,,,,,
Provide maintenance contact details,Energy Efficiency Excellence,"<p>When users don’t know who to contact, they take things into their own hands. Even if your controls let them do the right thing, that probably means bringing in space heaters, turning on the oven and hob to warm the space, and blocking exits open with fire extinguishers. You need to know what problems they’re having and to be able to get detailed descriptions if there are issues that a worker needs to sort out for you. If you have occasional or loosely managed user groups in, you may need signage with a contact number.</p>",It's good to talk,1990s advertising campaign ,T1.1,3,£,,,1,1,Basic steps,"""It's good to talk"" - 1990s advertising campaign ",,Good management,Provide maintenance contact details,,,,,,,,,,,,,,,
Keep maintenance records and plan for change,Energy Efficiency Excellence,"<p>Planning for change means you won't get caught out when equipment fails.  For electrics, you want new equipment to be as efficient as possible.  Heating takes special care because you want to do things in the right order.  For instance, it’s best to put in underfloor heating when the flooring is being changed, not afterwards.  Good planning requires  maintenance records so you can spot recurring problems and save you scrapping a whole system when one part fails. </p><p>If you still have a non-condensing boiler, you should make planning your next heating system a top priority.</p>",When people can see a vision and simultaneously recognise what can be done step by step... they will begin to feel encouragement and enthusiasm., Erich Fromm ,T1.1,,,,,1,,Basic steps,"“When people can see a vision and simultaneously recognise what can be done step by step... they will begin to feel encouragement and enthusiasm.” Erich Fromm  OR “By failing to prepare, you are preparing to fail.” ― Benjamin Franklin ",add,,,,,,,,,,,,,,,,,
Create a draught lobby,Energy Efficiency Excellence,"<p>Heat is lost when doors and windows are opened to the outside. By providing sufficient space for the outer door to be closed before opening the inner door, the draught lobby functions a bit like an air lock. If you need to have both doors open at the same time, a draught lobby won’t help.</p><p>Draught lobbies can be either inside the building - essentially adding a vestibule - or outside. Often they are made in glass to avoid the building becoming less welcoming and incorporate automatic doors to save energy and make the building more accessible.</p>",It always seems impossible until it's done., Nelson Mandela,T1.10,2,£££,space,,1,3,Address heat loss,"""It always seems impossible until it's done."" ― Nelson Mandela",,Heat loss measures,Create a draught lobby,,,,,,,,,,,,,,,
Close doors between heated and unheated spaces,Energy Efficiency Excellence,"<p>It’s obvious why this makes sense - the hard part is understanding why the doors are open.   If users just forget to close the door, a cheap hydraulic door closer might help.  If groups feel it must be open to welcome people, you might be able to install a glass panel so newcomers can see what is happening inside the space.   If users struggle to enter the space unaided, then you will need either a more expensive automatic door or to station someone at the door to help. </p>","Let us make our future now, and let us make our dreams tomorrow's reality.",Malala Yousafzai,T1.10,2,££,space,,1,2,Address heat loss,"""Let us make our future now, and let us make our dreams tomorrow's reality."" ― Malala Yousafzai",,Heat loss measures,Close doors automatically,,,,,,,,,,,,,,,
Draughtproof the building,Energy Efficiency Excellence,"<p>Draughts let cold air in and make people uncomfortable.  Consider windows including cracked glass, doors, loft hatches, holes from previous extractor fans, and gaps around pipework, in floorboards, and under skirting boards. Professionals have access to better materials and skills than you do. Draughtproofing windows is expensive but can make all the difference.</p><p>Blocking up original ventilation features could make your building damp - if you think they let in too much air, take professional advice. Chimneys can have their airflow reduced with a chimney balloon, chimney cap, or a board covering the hearth, but they do need some airflow.</p>",Our shelter from the stormy blast, hymn,T1.10,2,£££,space,,1,3,Address heat loss,"""Our shelter from the stormy blast"" ― hymn OR The older you get the stronger the wind gets - and it's always in your face. ― Pablo Picasso  or ""I love the feeling of the fresh air on my face and the wind blowing through my hair"". ― Evel Knievel",,Heat loss measures,Draughtproof the building,,,,,,,,,,,,,,,
Improve or install extractor fans,Energy Efficiency Excellence,"<p>Extractor fans are useful in some spaces to remove moist or stale air, but they also cause heat loss. It’s possible to get extractor fans that recover the heat and put it back into the building by transferring it to fresh air from outside.  This is worth the added cost for fans that are often on.  </p><p> Extractor fans can come on and go off with the lights, come on with the lights but run longer, work from a pull cord, or run automatically based on the relative humidity. The right choice matters and depends on the application.</p>","Don't fight forces, use them.", R. Buckminster Fuller,T1.10,3,££,space,,1,2,Address heat loss,"""Don't fight forces, use them."" ― R. Buckminster Fuller",,Heat loss measures,Install heat recovery extractor fans,,,,,,,,,,,,,,,
Add close-fitting thermal curtains or blinds,Energy Efficiency Excellence,"<p>Thermal curtains and blinds cut draughts and block cold surfaces from making people uncomfortable.  The cheapest option is tightly woven or  foam-backed lined curtains that fit well.  More expensive options perform better because they use fancier materials or trap air movement by adding a box at the top or are blinds that attach to the window frame.  Some home sewers can make cheap but effective curtains and blinds.  </p><p> You can put a curtain on a fire exit to help during a building’s warmup, but it must be left open when people are in. </p>","Heavy, lined curtains... can reduce heat loss [ from single-glazed sash windows] by 14%",Historic Environment Scotland advice web page,T1.10,2,£££,,,1,3,Address heat loss,"""Heavy, lined curtains... can reduce heat loss [ from single-glazed sash windows] by 14%.""  — Historic Environment Scotland advice web page",,Windows,Close fitting thermal curtains or blinds,,,,,,,,,,,,,,,
Get the ventilation right,Energy Efficiency Excellence,"<p>Most buildings have lots of ways to control the ventilation and assume people will be sensible, for instance, closing vents while a space warms up and opening them to release moist air when people leave.  Help your users know what to do.  You may want to add features like window trickle vents to make things easier, or consider our extractor fan card.  </p><p> If you don’t know how much ventilation you need, your nose, or a relative humidity sensor, will tell you.  The Health and Safety Executive has guidance about using a CO2 monitor for health safety checks.</p>",Many hands make light work.,proverb,T1.10,?,£,,,1,1,Address heat loss,"""Many hands make light work."" ― proverb",,Behaviour changes,Control ventilation manually,,,,,,,,,,,,,,,
